project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Jinjie Coal Mine,operating,"China Energy (49%), State Grid Corporation of China (30%), Others (21%)",China Energy Jinjie Energy Company,18,1578,bituminous,thermal,underground,766,China,Asia,https://www.gem.wiki/Jinjie_coal_mine,38.742365,110.171171
Jinjitan Coal Mine,operating,"Shandong Energy (62%), Shaanxi Yanchang Petroleum Group (19%), Jiaxing Dejian Investment Partnership (5%), Others (14%)",Shaanxi Future Energy Chemical Company,17,898,bituminous,thermal,underground,2146,China,Asia,https://www.gem.wiki/Jinjitan_Coal_Mine,38.506707,109.819371
Jinmei Pingshang Coal Mine,operating,Jinneng Group,Shanxi Jinmei Group Pingshang Coal Industry Company,0.9,36,anthracite,thermal,underground,1290,China,Asia,https://www.gem.wiki/Jinmei_Pingshang_Coal_Mine,35.648625,112.51252
Jinneng Coal Mine,proposed,"China Huadian (49%), Shanxi Coking Coal Group (30%), China Cinda Asset Management (20%), China Construction Bank (1%)",Huozhou Coal and Electricity Group,1.2,240,bituminous,met,underground,,China,Asia,https://www.gem.wiki/Jinneng_coal_mine,38.401258,112.022623
Jinping Coal Mine,operating,Shanxi Xiangkuang Group,Shanxi Xiangkuang Group,2.4,35,bituminous,thermal,underground,2288,China,Asia,https://www.gem.wiki/Jinping_Coal_Mine,36.508637,112.968938
Jinpushan Coal Mine,operating,Shanxi Zhenghua Industrial Group,Shanxi Jincheng Jinpushan Coal Industry Company,1.3,19,anthracite,thermal,underground,1103,China,Asia,https://www.gem.wiki/Jinpushan_Coal_Mine,35.438319,112.789793
Jinrui Coal Mine,operating,Jinneng Group,Shanxi Coal Transportation and Marketing Group Jinrui Coal Industry Company,1.5,22,bituminous,met,underground,310,China,Asia,https://www.gem.wiki/Jinrui_Coal_Mine,37.695724,110.972761
Jinsha Anneng Coal Mine,proposed,Ruiqian Investment Development Company,Guizhou Daxiannan Mining Company,0.9,21,anthracite,thermal,underground,,China,Asia,,27.37423,106.151263
Jinsha Baiping Coal Mine,proposed,Hong Kong Smartact Limited,Guizhou Puxin Energy Company,0.9,22,anthracite,thermal,underground,,China,Asia,,27.261322,106.40082
Jinsha County Xinda Coal Mine,proposed,Guizhou Guoxing Mining Group,Guizhou Hengda Coal Industry Company,1.45,46,anthracite,thermal_and_met,underground_and_surface,,China,Asia,,27.270672,106.391515
Jinsha County Yunan Coal Mine,proposed,Fuqing Dihou Investment Partnership (General Partnership),Guizhou Jinsha Xingji Mining Company,0.45,8,anthracite,thermal_and_met,surface,294,China,Asia,,27.39848,106.559421
Jinsha Dayun Coal Mine,proposed,Hong Kong Smartact Limited,Guizhou Puxin Energy Company,1.2,43,anthracite,thermal,underground,,China,Asia,,27.241667,106.425
Jinsha Linhua Coal Mine,operating,"Guizhou Panjiang Investment Holding (Group) Company,Limited","Guizhou Lindong Mining Industry Group Company,Limited Linhua Coal Mine",1.5,98,anthracite,thermal,underground,1013,China,Asia,,27.423197,106.151957
Jinsha Liuhuangpo Coal Mine,proposed,Guizhou Yuxiang Mining Group Investment Company,Guizhou Yuxiang Mining Group Investment Company,1,29,anthracite,thermal,underground_and_surface,,China,Asia,,27.226819,106.417645
Jinsha Longfeng Coal Mine,operating,Guizhou Panjiang Investment Holding (Group) Company,Guizhou Lindong Coal Industry Development Company Longfeng Coal Mine,0.9,52,anthracite,thermal,underground,850,China,Asia,,27.370468,106.635452
Jinsha Longgong Coal Mine,operating,"Guizhou Langyue Mining Investment Company,Limited","Guizhou Langyue Mining Investment Company,Limited Longgong Coal Mine",1.2,54,anthracite,thermal,underground,,China,Asia,,27.373328,106.150374
Jinsha Yongsheng Coal Mine,proposed,Hong Kong Smartact Limited,Guizhou Puxin Energy Company,1.5,41,anthracite,thermal,underground,,China,Asia,,27.172773,106.429191
Jinsheng Yixin Coal Mine,operating,Jinneng Group,Shanxi Jinmei Group Jinsheng Yixin Coal Industry Company,3,78,anthracite,thermal,underground,1296,China,Asia,https://www.gem.wiki/Jinsheng_Yixin_Coal_Mine,35.660252,112.017175
Jintai Changtan Coal Mine,operating,Inner Mongolia Jintai Energy Group,Inner Mongolia Jintai Energy Group,2.4,,bituminous,thermal,underground,274,China,Asia,https://www.gem.wiki/Jintai_Changtan_Coal_Mine,39.609565,111.165266
Jintong Coal Mine,operating,China Huadian,Inner Mongolia Huadian Mengneng Jintong Coal Industry Company,1.5,45,bituminous,thermal,underground,300,China,Asia,https://www.gem.wiki/Jintong_Caol_Mine,39.780217,110.211983
Jintong Shashi Coal Mine,operating,Huairen Nanyao Coal Industry Company,Shanxi Huairen Nanyao Jintong Shashi Coal Industry Company,0.9,31,bituminous,thermal,underground,274,China,Asia,https://www.gem.wiki/Jintong_Shashi_Coal_Mine,39.801579,112.854766
Jinxinda Coal Mine,operating,Jinneng Group,Shanxi Coal Transportation and Marketing Group Jinxinda Coal Industry Company,1.5,,bituminous,met,underground,487,China,Asia,https://www.gem.wiki/Jinxinda_Coal_Mine,36.199837,111.302679
Jinyang Coal Mine,operating,Shanxi Tongzhou Coal and Coke Group (100%),Shanxi Tongzhou Group Jinyang Coal Industry Company,0.9,,bituminous,,underground,50,China,Asia,https://www.gem.wiki/Jinyang_Coal_Mine,36.562088,112.467575
Jinyuanli Coal Mine,operating,Harvest Team (China) Company Limited,Inner Mongolia Yuanyuan Energy Group Jinyuanli Jinggong Mining Company,1.2,24,lignite,thermal,underground,450,China,Asia,https://www.gem.wiki/Jinyuanli_Coal_Mine,45.46561,119.538079
Jinzhengtai Surface Mine,operating,Shandong Energy,Zhungeer Jinzhengtai Coal Company,3,42,bituminous,thermal,surface,119,China,Asia,https://www.gem.wiki/Jinzhengtai_Surface_Mine,39.868788,111.337833
Jiudaoling Coal Mine,operating,Liaoning Pingan Economic and Trade Company,Liaoning Jiudaoling Coal Industry Company,1.1,24,bituminous,thermal,underground,1562,China,Asia,https://www.gem.wiki/Jiudaoling_Coal_Mine,41.635208,121.332877
Jiulishan Coal Mine,operating,Henan Energy Chemical Group,Henan Coking Coal Energy,1,62,anthracite,thermal,underground,2844,China,Asia,https://www.gem.wiki/Jiulishan_Coal_Mine,35.308731,113.410586
Jiulong Coal Mine,operating,Jizhong Energy Group,Jizhong Energy Fengfeng Group Handan Baofeng Mining Company Jiulong Coal Mine,1.68,67,bituminous,met,underground,2752,China,Asia,https://www.gem.wiki/Jiulong_Coal_Mine,36.430453,114.261748
Jixian Coal Mine,operating,Heilongjiang Longmay Mining Holding Group,Heilongjiang Longmei Mining Group Shuangyashan Branch,1.8,50,bituminous,thermal_and_met,underground,2054,China,Asia,https://www.gem.wiki/Jixian_Coal_Mine,46.765679,131.264976
Jizhong Xin'an Coal Mine,operating,Jizhong Energy Group,Jizhong Energy Fengfeng Group Xin'an Coal Mine,1.5,8,bituminous,met,underground,1461,China,Asia,https://www.gem.wiki/Jizhong_Xin%27an_Coal_Mine,36.340737,114.123909
Jude Coal Mine,operating,Shanxi Fulin Investment Company,Shanxi Liulin Hongsheng Jude Coal Industry Company,2.4,53,bituminous,met,underground,1141,China,Asia,https://www.gem.wiki/Jude_Coal_Mine,37.505767,110.873905
Junde Coal Mine,operating,Heilongjiang Longmei Mining Group,Heilongjiang Longmei Mining Industry Group Hegang Branch,4,251,bituminous,met,underground,1862,China,Asia,https://www.gem.wiki/Junde_Coal_Mine,47.189119,130.239966
Jungar Bu'erdong Coal Mine,operating,Beijing Huayuan Jiaxin Investment Company,Jungar Banner Gongjia Bu'erdong Coal Company,1.2,39,bituminous,thermal,surface,74,China,Asia,https://www.gem.wiki/Jungar_Bu'erdong_Coal_Mine,39.400833,110.480833
Jungar Gonggou Coal Mine,proposed,Beijing Huayuan Jiaxin Investment Company,Inner Mongolia Huineng Coal and Electricity Group,1.2,72,bituminous,thermal,surface,,China,Asia,https://www.gem.wiki/Jungar_Gonggou_Coal_Mine,39.669395,110.306898
Jungar Xiehua Coal Mine,proposed,Inner Mongolia Tehong Coal Power Group,Inner Mongolia Tehong Coal and Electricity Group Xiehua Coal Mine,0.9,,bituminous,thermal,underground,,China,Asia,https://www.gem.wiki/Xiehua_Coal_Mine,39.836591,111.291878
Jungar Zhaofu Coal Mine,proposed,Inner Mongolia Sidaoliu Coal Company,Jungar Banner Zhaofu Coal Company,1.2,39,bituminous,thermal,surface,,China,Asia,https://www.gem.wiki/Jungar_Zhaofu_Coal_Mine,39.882934,111.359854
Jungar Zhunlian Coal Mine,operating,Ordos Kaiyuan Investment Company,Jungar Banner Zhunlian Coal Company,1.8,,bituminous,thermal,surface,113,China,Asia,https://www.gem.wiki/Jungar_Zhunlian_Coal_Mine,39.401172,110.41917
Juxin Coal Mine,operating,Shanxi Juyi Industrial Group,Shanxi Lingshi Tianju Xinyuan Coal Industry Company,3,,bituminous,met,surface,210,China,Asia,https://www.gem.wiki/Juxin_Coal_Mine,36.850448,111.582553
Kabuqi Coal Mine,operating,Inner Mongolia Tianyu Innovation Investment Group,Wuhai Wenming Mining Company,1.2,10,subbituminous,thermal,surface,423,China,Asia,https://www.gem.wiki/Kabuqi_open-pit_coal_mine,39.623996,106.892109
Kaichuan Coal Mine,operating,Jizhong Energy Group,Shanxi Fangshan Jinhui Kaichuan Coal Industry Company,1.2,13,bituminous,met,underground,721,China,Asia,https://www.gem.wiki/Kaichuan_Coal_Mine,37.70135,111.109599
Kaida Coal Mine,operating,"Inner Mongolia Yitai Investment (40.17%), B shares (40.18%), H shares (10.02%)",Inner Mongolia Yitai Coal Company,2.8,110,bituminous,,underground,362,China,Asia,https://www.gem.wiki/Kaida_Coal_Mine,39.345813,110.59626
Kaitong Open-Pit Coal Mine,operating,Baotong Kaitong Mining Industry Company,Baotong Kaitong Mining Industry Company,0.9,,bituminous,,surface,64,China,Asia,https://www.gem.wiki/Kaitong_OpenPit_Coal_Mine,40.63714,110.292409
Kaiyuan Coal Mine,operating,Huayang New Material Technology Group,Shouyang Kaiyuan Mining Company,3,303,anthracite,thermal,underground,3291,China,Asia,https://www.gem.wiki/Kaiyuan_Coal_Mine,37.962314,113.029653
Kaiyuan Surface Coal Mine,proposed,Mingji Kaiyuan Investment Company,Mulei Kaiyuan Coal Company,1.2,3,bituminous,thermal,underground,304,China,Asia,https://www.gem.wiki/Kaiyuan_Surface_Coal_Mine,44.550543,90.402931
Kangwei Nanshan Coal Mine,operating,Yongtai Technology Investment Company,Shanxi Kangwei Group Nanshan Coal Industry Company,0.9,43,bituminous,thermal_and_met,underground,853,China,Asia,https://www.gem.wiki/Kangwei_Nanshan_Coal_Mine,36.538648,112.152196
Kejian Coal Mine,operating,Zhongwei Investment Company,Inner Mongolia Kejian Coal Company,1.8,,bituminous,,surface,53,China,Asia,https://www.gem.wiki/Kejian_Coal_Mine,39.615948,110.29172
Kekegai Coal Mine,proposed,Shaanxi Yanchang Petroleum Group,Shaanxi Yanchang Petroleum Yulin Kekegai Coal Industry Company,10,1287,bituminous,,underground,,China,Asia,https://www.gem.wiki/Kekegai_Coal_MIne,38.431304,109.315019
Kexing Longma Coal Mine,operating,Gaoping Economic and Trade Asset Operation Company,Shanxi Gaoping Kexing Longma Coal Industry Company,0.9,15,anthracite,thermal,underground,864,China,Asia,https://www.gem.wiki/Kexing_Longma_Coal_Mine,35.73477,112.80801
Kexing Pingquan Coal Mine,operating,Gaoping Economic and Trade Asset Operation Company,Shanxi Gaoping Kexing Pingquan Coal Industry Company,0.9,12,anthracite,thermal,underground,813,China,Asia,https://www.gem.wiki/Kexing_Pingquan_Coal_Mine,35.71756,112.805571
Kexing Xinzhuang Coal Mine,operating,Gaoping Economic and Trade Asset Operation Company,Shanxi Gaoping Kexing Xinzhuang Coal Industry Company,0.9,23,anthracite,thermal,underground,1406,China,Asia,https://www.gem.wiki/Kexing_Xinzhuang_Coal_Mine,35.687728,112.921657
Kexing Youxianshan Coal Mine,operating,Gaoping Economic and Trade Asset Operation Company,Shanxi Gaoping Kexing Youxianshan Coal Industry Company,0.9,24,anthracite,thermal,underground,1083,China,Asia,https://www.gem.wiki/Kexing_Youxianshan_Coal_Mine,35.841347,113.013268
Kexing Yunquan Coal Mine,operating,Gaoping Economic and Trade Asset Operation Company,Shanxi Gaoping Kexing Yunquan Coal Industry Company,1.2,32,anthracite,thermal,underground,1426,China,Asia,https://www.gem.wiki/Kexing_Yunquan_Coal_Mine,35.797479,113.040898
Kongzhuang Coal Mine,operating,China Coal,Shanghai Datun Energy Company Kongzhuang Coal Mine,1.44,66,bituminous,met,underground,2217,China,Asia,https://www.gem.wiki/Kongzhuang_Coal_Mine,34.782041,116.954253
Kouzi East Coal Mine,operating,"China Coal (30%), China Energy (7%), Anhui Xinji Coal and Electricity Group (7%) China COSCO Shipping (56%)",China Coal Xinji Energy,5,382,bituminous,thermal_and_met,underground,1942,China,Asia,https://www.gem.wiki/Kouzi_East_Coal_Mine,32.833342,116.162687
Kuche Dapingtan Coal Mine,proposed,China Energy,National Energy Group Qingsong Kuche Mining Development Company,2.4,163,anthracite,thermal,underground,,China,Asia,https://www.gem.wiki/Kuche_Dapingtan_Coal_Mine,42.219375,83.228272
Kuli Huoshatu Coal Mine,operating,Inner Mongolia Xinya Energy Investment Group,Inner Mongolia Mengxi Mining Company,1.2,50,bituminous,met,underground,952,China,Asia,https://www.gem.wiki/Kuli_Huoshatu_Coal_Mine,39.465275,107.142482
Kuqa Beishan Central Coal Mine,proposed,KAILUAN(Group) Limited Liability Corporation,Kailuan Kuqa High Tech Energy Company,1.5,302,bituminous,thermal,underground,,China,Asia,,41.963289,83.041866
Langwoqu Coal Mine,operating,Shenmu Langwoqu Mining Company,Shenmu Langwoqu Mining Company,2.4,56,bituminous,thermal,underground,261,China,Asia,https://www.gem.wiki/Langwoqu_Coal_Mine,39.059433,110.29665
Lanhua Baoxin Coal Mine,operating,"Jincheng Stateowned Capital Investment and Operation Company (56.74%), Qinhe Energy Group (28.01%), Zezhou County Stateowned Capital Investment and Operation Company (8.39%), Gaoping Stateowned Capital Investment and Operation Group (6.86%)",Shanxi Guxian Lanhua Baoxin Coal Industry Company,0.9,8,bituminous,met,underground,759,China,Asia,https://www.gem.wiki/Lanhua_Baoxin_Coal_Mine,36.472164,112.150625
Lanhua Jushan Coal Mine,operating,Jincheng Stateowned Capital Investment and Operation Company,Shanxi Lanhua Group Jushan Coal Mine Company,0.9,40,anthracite,thermal,underground,1294,China,Asia,https://www.gem.wiki/Lanhua_Jushan_Coal_Mine,35.671819,112.885921
Lanhua Kouqian Coal Mine,operating,"Jincheng Stateowned Capital Investment and Operation Company (56.74%), Qinhe Energy Group (28.01%), Zezhou County Stateowned Capital Investment and Operation Company (8.39%), Gaoping Stateowned Capital Investment and Operation Group (6.86%)",Shanxi Shuozhou Shanyin Lanhua Kouqian Coal Industry Company,0.9,34,bituminous,thermal,underground,265,China,Asia,https://www.gem.wiki/Lanhua_Kouqian_Coal_Mine,39.694072,112.617277
Lanhua Qinyu Coal Mine,proposed,Shanxi Lanhua Coal Industry Group,Shanxi Lanhua Qinyu Coal Mine Company,0.9,27,anthracite,thermal,underground,,China,Asia,,35.564969,112.056633
Lanhua Tongbao Coal Mine,operating,Shanxi Lanhua Coal Industry Group,Shanxi Lanhua Tongbao Coal Industry Company,0.9,34,anthracite,thermal,underground,352,China,Asia,,35.713418,112.775201
Lanhua Wangyun Coal Mine,operating,"Jincheng Stateowned Capital Investment and Operation Company (56.74%), Qinhe Energy Group (28.01%), Zezhou County Stateowned Capital Investment and Operation Company (8.39%), Gaoping Stateowned Capital Investment and Operation Group (6.86%)",Shanxi Lanhua Technology Venture CompanyWangyun Coal Mine Branch,1.2,47,anthracite,thermal,underground,1680,China,Asia,https://www.gem.wiki/Lanhua_Wangyun_Coal_Mine,35.889087,112.870158
Lanxian Changheng Coal Mine,operating,Wanbei Coal & Electrical Group,Shanxi Lanxian Changheng Coal Coke Company,0.9,29,bituminous,met,underground,658,China,Asia,https://www.gem.wiki/Lanxian_Changheng_Coal_Mine,38.23397,111.719137
Laogongyingzi Coal Mine,operating,China Energy,Inner Mongolia Pingzhuang Coal Group,1.8,124,lignite,thermal,underground,1406,China,Asia,https://www.gem.wiki/Laogongyingzi_Coal_Mine,42.372657,119.347942
Laohutai Coal Mine,operating,Liaoning Energy Industry Holding Group,"Fushun Mining Group, Laohutai Coal Mine",2.4,21,bituminous,thermal_and_met,underground,2734,China,Asia,https://www.gem.wiki/Laohutai_Coal_Mine,41.844669,123.941153
Laoshidan Coal Mine,operating,China Energy,National Energy Group Wuhai Energy Company. Laoshidan Coal Mine,1.5,18,bituminous,met,underground,759,China,Asia,https://www.gem.wiki/Laoshidan_Coal_Mine,39.391211,106.848993
Laoyaogou Coal Mine,operating,Xinzhou Asset Management Group,Shanxi Ningwu Dayun Huasheng Laoyaogou Coal Industry Company,1.2,,bituminous,thermal_and_met,underground,472,China,Asia,https://www.gem.wiki/Laoyaogou_Coal_Mine,39.043678,112.342865
Liang Bei Coal Mine,operating,"Henan Shenhuo Group (24%), Shangqiu Oriental Investment Company (14%), Others (62%)",Henan Xuchang Xinlong Mine Industry Company,1.5,132,bituminous,met,underground,3500,China,Asia,https://www.gem.wiki/Liang_Bei_coal_mine,34.090606,113.464711
Liang Bei No.2 Coal Mine,proposed,China Pingmei Shenma Energy and Chemical Group,China Pingmei Shenma Group,1.2,102,bituminous,met,underground,,China,Asia,https://www.gem.wiki/Liangbei_No.2_Mine,34.093458,113.515956
Liangbaosi Coal Mine,operating,Shandong Energy,Feicheng Mining Group Liangbaosi Energy,3.3,180,bituminous,thermal_and_met,underground,2693,China,Asia,https://www.gem.wiki/Liangbaosi_Coal_Mine,35.575985,116.19841
Liangdu Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Fenxi Mining Group Liangdu Coal Industry Company,1.2,17,anthracite,thermal_and_met,underground,1720,China,Asia,https://www.gem.wiki/Liangdu_Coal_Mine,36.927905,111.780157
Liangjia Coal Mine,operating,Shandong Energy,Longkou Coal and Electricity Company Liangjia Coal Mine,2.2,23,lignite,thermal,underground,2116,China,Asia,https://www.gem.wiki/Liangjia_Coal_Mine,37.67974,120.341771
Liangjiaqi Coal Mine,operating,Shanxi Xinzhou Shenda Energy Group,Shanxi Xinzhou Shenda Liangjiaqi Coal Industry Company,3,219,bituminous,thermal,surface,129,China,Asia,https://www.gem.wiki/Liangjiaqi_Coal_Mine,39.407908,111.324533
Liangshuijing Coal Mine,operating,"Shaanxi Investment Group (47%), Shaanxi Yulin Energy Group Huisen Investment and Management (5%), China Energy (30%), Shenmu StateOwned Assets Operation Company (17%), Others (1%)",Shaaxi Energy Liangshuijing Mining Company,8,407,bituminous,,underground,1330,China,Asia,https://www.gem.wiki/Liangshuijing_Coal_Mine,38.794192,110.246348
Libi Coal Mine,proposed,"China Coal (51%), Shanxi Coking Coal Group (49%)",Guotou Jincheng Energy Investment Company,4,154,anthracite,thermal,underground,,China,Asia,https://www.gem.wiki/Libi_Coal_Mine,35.695959,112.289351
Lijiahao Coal Mine,operating,"China Energy (69%), HKSCC Nominees Limited (17%), Others (14%)",China Energy Baotou Energy Company,6,607,bituminous,thermal,underground,697,China,Asia,https://www.gem.wiki/Lijiahao_Coal_Mine,39.738114,110.024669
Lijiahe Coal Mine,proposed,,,4,339,bituminous,thermal,underground,,China,Asia,,34.893193,106.863376
Lijialou Coal Mine,operating,Taiyuan Dongshan Coal Mine Company,Taiyuan Dongshan Lijialou Coal Industry Company,1.2,89,bituminous,met,underground,911,China,Asia,https://www.gem.wiki/Lijialou_Coal_Mine,37.635802,112.289392
